prev_feedback_type,prev_feedback_time,prev_reward_time,prev_response,contrast_left,contrast_right,response
1.0,1.3304247234850664,-1.6635257609939345,1.0,1.0,0.25,1.0
1.0,1.2489076969036432,-2.479189816393273,1.0,0.25,0.5,-1.0
1.0,1.4525337169825434,-1.789051712439914,-1.0,0.0,0.5,-1.0
1.0,1.4623796287703499,-1.2307574404203478,-1.0,0.5,0.0,1.0
1.0,1.2314688155297517,-3.44436265319041,1.0,0.0,0.0,1.0
-1.0,1.0470264164719083,-3.8117261646341376,1.0,0.0,0.0,0.0
1.0,2.5220522547915607,-2.4945496708098744,0.0,0.0,0.0,1.0
-1.0,1.4742945355501433,-1.8725848446683813,1.0,0.0,0.0,1.0
-1.0,1.5913492601334838,-3.0401912770983017,1.0,0.0,0.0,1.0
-1.0,1.5248625371250455,-3.9372418524501427,1.0,0.0,0.0,-1.0
-1.0,1.628295458445109,-3.76801871205771,-1.0,0.0,0.0,0.0
1.0,2.806381463945627,-2.4000682425214563,0.0,0.0,0.5,-1.0
1.0,1.2536359199193612,-2.0603266287571387,-1.0,1.0,0.0,1.0
1.0,1.258435618931344,-2.8010750937628472,1.0,0.0,1.0,-1.0
1.0,1.3379631407660781,-2.620680272008258,-1.0,0.0,0.5,-1.0
1.0,1.3348883120740993,-6.108425889504588,-1.0,0.0,0.0,0.0
1.0,2.743955162179873,-5.124067271750164,0.0,0.25,1.0,-1.0
1.0,1.120676143886385,-1.5987295259931216,-1.0,1.0,1.0,1.0
1.0,1.311968492549795,-2.480720307745969,1.0,1.0,0.0,1.0
1.0,1.3932020570837267,-2.449548092706891,1.0,1.0,0.25,1.0
1.0,1.2055390093462393,-1.354766484749689,1.0,0.0,0.0,0.0
1.0,2.719729548086889,-2.06224049765342,0.0,0.0,1.0,-1.0
1.0,1.1527796489631328,-4.913872243479545,-1.0,0.0,0.5,-1.0
1.0,1.3429606101931313,-3.100553011458942,-1.0,0.0,0.5,-1.0
1.0,1.348605617774183,-1.792591162398594,-1.0,0.25,0.0,0.0
-1.0,2.7238367651334556,-3.603088796246311,0.0,1.0,0.0,1.0
